2024-11-18 10:21:00,557:INFO:Libro agregado: kjflaksd by flasdjflka (12) - fajsdlfk
2024-11-18 10:21:38,735:INFO:Relación agregada entre kjflaksd y kjflaksd: Autor: flasdjflka, Género: fajsdlfk, Año: 12
2024-11-18 10:21:51,880:INFO:Relación agregada entre kjflaksd y kjflaksd: Autor: flasdjflka, Género: fajsdlfk, Año: 12
2024-11-18 10:21:51,880:INFO:Relación agregada entre kjflaksd y kjflaksd: Autor: flasdjflka, Género: fajsdlfk, Año: 12
2024-11-18 10:22:49,777:INFO:Relación agregada entre kjflaksd y kjflaksd: Autor: flasdjflka, Género: fajsdlfk, Año: 12
2024-11-18 10:22:49,777:INFO:Relación agregada entre kjflaksd y kjflaksd: Autor: flasdjflka, Género: fajsdlfk, Año: 12
2024-11-18 10:22:49,792:INFO:Relación agregada entre kjflaksd y kjflaksd: Autor: flasdjflka, Género: fajsdlfk, Año: 12
2024-11-18 10:24:00,792:INFO:Libro agregado: 123 by 123 (123) - 123
2024-11-18 10:24:09,430:INFO:Relación agregada entre 123 y 123: Autor: 123, Género: 123, Año: 123
2024-11-18 10:40:45,034:INFO:Libro agregado: Titulo: 1984, Autor: George Orwell, Categoria: Ciencia Ficcion, Año: 1949, ISBN: 9780451524935
2024-11-18 10:40:45,050:INFO:Libro agregado: Titulo: Cien anos de soledad, Autor: Gabriel Garcia Marquez, Categoria: Fantasia, Año: 1967, ISBN: 9780307474728
2024-11-18 10:40:45,050:INFO:Libro agregado: Titulo: El nombre del viento, Autor: Patrick Rothfuss, Categoria: Fantasia, Año: 2007, ISBN: 9788401352836
2024-11-18 10:40:45,050:INFO:Libro agregado: Titulo: El Senor de los Anillos, Autor: J.R.R. Tolkien, Categoria: Fantasia, Año: 1954, ISBN: 9780261102385
2024-11-18 10:40:45,050:INFO:Libro agregado: Titulo: Sapiens: De animales a dioses, Autor: Yuval Noah Harari, Categoria: No Ficcion, Año: 2011, ISBN: 9788499926223
2024-11-18 10:41:56,195:INFO:Libro agregado: Titulo: 1984, Autor: George Orwell, Categoria: Ciencia Ficcion, Año: 1949, ISBN: 9780451524935
2024-11-18 10:41:56,195:INFO:Libro agregado: Titulo: Cien anos de soledad, Autor: Gabriel Garcia Marquez, Categoria: Fantasia, Año: 1967, ISBN: 9780307474728
2024-11-18 10:41:56,195:INFO:Libro agregado: Titulo: El nombre del viento, Autor: Patrick Rothfuss, Categoria: Fantasia, Año: 2007, ISBN: 9788401352836
2024-11-18 10:41:56,195:INFO:Libro agregado: Titulo: El Senor de los Anillos, Autor: J.R.R. Tolkien, Categoria: Fantasia, Año: 1954, ISBN: 9780261102385
2024-11-18 10:41:56,195:INFO:Libro agregado: Titulo: Sapiens: De animales a dioses, Autor: Yuval Noah Harari, Categoria: No Ficcion, Año: 2011, ISBN: 9788499926223
2024-11-18 10:43:07,294:INFO:Libro agregado: Titulo: 1984, Autor: George Orwell, Categoria: Ciencia Ficcion, Año: 1949, ISBN: 9780451524935
2024-11-18 10:43:07,294:INFO:Libro agregado: Titulo: Cien anos de soledad, Autor: Gabriel Garcia Marquez, Categoria: Fantasia, Año: 1967, ISBN: 9780307474728
2024-11-18 10:43:07,294:INFO:Libro agregado: Titulo: El nombre del viento, Autor: Patrick Rothfuss, Categoria: Fantasia, Año: 2007, ISBN: 9788401352836
2024-11-18 10:43:07,294:INFO:Libro agregado: Titulo: El Senor de los Anillos, Autor: J.R.R. Tolkien, Categoria: Fantasia, Año: 1954, ISBN: 9780261102385
2024-11-18 10:43:07,294:INFO:Libro agregado: Titulo: Sapiens: De animales a dioses, Autor: Yuval Noah Harari, Categoria: No Ficcion, Año: 2011, ISBN: 9788499926223
2024-11-18 10:48:18,891:INFO:Libro agregado: Titulo: 1984, Autor: George Orwell, Categoria: Ciencia Ficcion, Año: 1949, ISBN: 9780451524935
2024-11-18 10:48:18,891:INFO:Libro agregado: Titulo: Cien anos de soledad, Autor: Gabriel Garcia Marquez, Categoria: Fantasia, Año: 1967, ISBN: 9780307474728
2024-11-18 10:48:18,891:INFO:Libro agregado: Titulo: El nombre del viento, Autor: Patrick Rothfuss, Categoria: Fantasia, Año: 2007, ISBN: 9788401352836
2024-11-18 10:48:18,891:INFO:Libro agregado: Titulo: El Senor de los Anillos, Autor: J.R.R. Tolkien, Categoria: Fantasia, Año: 1954, ISBN: 9780261102385
2024-11-18 10:48:18,891:INFO:Libro agregado: Titulo: El temor de un hombre sabio, Autor: Patrick Rothfuss, Categoria: Fantasía, Año: 2011, ISBN: 9783608938166
2024-11-18 10:48:18,891:INFO:Libro agregado: Titulo: Sapiens: De animales a dioses, Autor: Yuval Noah Harari, Categoria: No Ficcion, Año: 2011, ISBN: 9788499926223
2024-11-18 10:48:40,393:INFO:Libro agregado: Titulo: 1984, Autor: George Orwell, Categoria: Ciencia Ficcion, Año: 1949, ISBN: 9780451524935
2024-11-18 10:48:40,393:INFO:Libro agregado: Titulo: El Senor de los Anillos, Autor: J.R.R. Tolkien, Categoria: Fantasia, Año: 1954, ISBN: 9780261102385
2024-11-18 10:48:40,393:INFO:Libro agregado: Titulo: Cien anos de soledad, Autor: Gabriel Garcia Marquez, Categoria: Fantasia, Año: 1967, ISBN: 9780307474728
2024-11-18 10:48:40,393:INFO:Libro agregado: Titulo: El nombre del viento, Autor: Patrick Rothfuss, Categoria: Fantasia, Año: 2007, ISBN: 9788401352836
2024-11-18 10:48:40,393:INFO:Libro agregado: Titulo: Sapiens: De animales a dioses, Autor: Yuval Noah Harari, Categoria: No Ficcion, Año: 2011, ISBN: 9788499926223
2024-11-18 10:48:40,393:INFO:Libro agregado: Titulo: El temor de un hombre sabio, Autor: Patrick Rothfuss, Categoria: Fantasía, Año: 2011, ISBN: 9783608938166
2024-11-18 10:48:52,037:INFO:Libro agregado: Titulo: 1984, Autor: George Orwell, Categoria: Ciencia Ficcion, Año: 1949, ISBN: 9780451524935
2024-11-18 10:48:52,037:INFO:Libro agregado: Titulo: El Senor de los Anillos, Autor: J.R.R. Tolkien, Categoria: Fantasia, Año: 1954, ISBN: 9780261102385
2024-11-18 10:48:52,037:INFO:Libro agregado: Titulo: Cien anos de soledad, Autor: Gabriel Garcia Marquez, Categoria: Fantasia, Año: 1967, ISBN: 9780307474728
2024-11-18 10:48:52,037:INFO:Libro agregado: Titulo: El nombre del viento, Autor: Patrick Rothfuss, Categoria: Fantasia, Año: 2007, ISBN: 9788401352836
2024-11-18 10:48:52,037:INFO:Libro agregado: Titulo: Sapiens: De animales a dioses, Autor: Yuval Noah Harari, Categoria: No Ficcion, Año: 2011, ISBN: 9788499926223
2024-11-18 10:48:52,037:INFO:Libro agregado: Titulo: El temor de un hombre sabio, Autor: Patrick Rothfuss, Categoria: Fantasía, Año: 2011, ISBN: 9783608938166
